Partei,Thema,Meinung
"AFD","Deutschland muss seine wirtschaftlichenStärken ausbauen","Die Weltwirtschaft befindet sich heute im Spannungsfeld  zwischen einem weiteren Ausbau der globalen Verflechtungen und ihrer maßvollen Rückführung in dezentrale,  regional fokussierte Wertschöpfungsstrukturen.  Deutsche Außenhandelspolitik muss dabei einen  diskriminierungsfreien Zugang zu ausländischen  Import- und Exportmärkten für deutsche Unternehmen  gewährleisten. Das schließt den Zugang zu Rohstoffen  und die Freiheit der Handelswege mit ein.  Ihre Kernaufgabe ist es daher, verlässliche Handelsregeln zu erhalten und gemäß den Interessen unseres  Landes weiterzuentwickeln. Ideologisch motivierte  Alleingänge, wie das Lieferkettengesetz, lehnen wir ab.  Wir fordern außerdem eine stärkere Kontrolle und  Berücksichtigung gesamtwirtschaftlicher und  verteidigungspolitischer deutscher Interessen bei der  Übernahme deutscher Unternehmen durch  ausländische Konzerne und Finanzinvestoren.  Sicherheitsrelevante und grundversorgungsrelevante  Bereiche müssen vor Übernahmen geschützt werden.  Entscheidungen ausländischer nationaler Gerichte mit  extraterritorialer Wirkung betrachten wir als nichtig, einseitig verhängte Sanktionen gegen Wirtschaftsprojekte  unseres Landes als völkerrechtswidrig."
"AFD","quote","Entscheidungen ausländischer nationaler  Gerichte mit  extraterritorialer  Wirkung betrachten  wir als nichtig, einseitig  verhängte Sanktionen  gegen Wirtschaftsprojekte unseres Landes  als völkerrechtswidrig."
"AFD","Auswärtige Kultur- und Bildungspolitik Deutschlands","Die AfD will deutsche Kultur und Sprache im Ausland in deutlich stärkerem Maße als bisher fördern. Die deutschen Auslandssender, die Goethe-Institute und verschiedenen Kulturprojekte sollen ein positives Bild Deutschlands in der Welt vermitteln. Dabei können sowohl aktuelle Entwicklungen in den Wissenschaften und Künsten als auch unser reiches kulturelles Erbe für unser Land werben. Angesichts zunehmender Mobilität im Arbeitsleben ist hierbei auch an die Deutschen im Ausland und deren Kinder zu denken, die in ihrer Muttersprache informiert werden wollen. Der Auftrag der Deutschen Welle und der Goethe-Institute, als Mittler deutscher Sprache und Kultur zu fungieren, darf nicht verwässert werden. Die Auswärtige Kulturpolitik Deutschlands muss außerdem das Ziel verfolgen, zu anderen Völkern und Staaten Brücken zu bauen. Wirtschaft, Politik, Kultur und nicht zuletzt der Tourismus profitieren davon. Ein besseres Verständnis für unsere kulturellen Werte, Traditionen und Geschichte kann Vertrauen schaffen und Deutschland als zuverlässigen Partner empfehlen. Der Schutz und Ausbau der Sprachkenntnisse in Gebieten mit deutschen Minderheiten erfordern besondere Beachtung und Förderung. Die AfD bekennt sich ausdrücklich zur Fürsorgepflicht Deutschlands gegenüber deutschen Minderheiten und wird deren Interessen im Rahmen ihrer Politik nachdrücklich unterstützen In den europäischen Institutionen muss die deutsche  Sprache gemäß ihrer rechtlichen Stellung und ihrer  Verbreitung auch tatsächlich den Verfahrenssprachen  Englisch und Französisch gleichgestellt werden.  Durch den Austritt Großbritanniens aus der EU hat  diese Forderung noch mehr Nachdruck erhalten."
"AFD","quote","Deutsch muss neben  Englisch und Französisch in den europäischen Institutionen  als Verfahrenssprache  gleichgestellt werden."
"AFD","Innere Sicherheit","Der Terroranschlag auf den Weihnachtsmarkt an der  Berliner Gedächtniskirche war der vorläufige Tiefpunkt  einer ganzen Serie von Ereignissen, die zeigen, dass es  um unsere Sicherheit schlecht bestellt ist. Die  Gewaltexzesse der linksextremen „Antifa” und migrantischer Jugendbanden in den Straßen unserer Städte  machen deutlich, wie sehr die innere Sicherheit Schaden  genommen hat. Zunehmende Straßengewalt, Terror und  Kriminalität sind jedoch keine Naturereignisse, die man  kritiklos hinnehmen muss. Sie sind menschengemacht  und haben Ursachen, die man bekämpfen kann. Genau  das wollen wir tun. "
"AFD","Linke Gewalt entschieden bekämpfen","Der Linksextremismus überschreitet zunehmend die  Schwelle zum Linksterrorismus. Wir fordern daher  verstärkte Anstrengungen im Kampf gegen den  Linksextremismus.  Die Gewährung staatlicher Fördergelder muss wieder an  eine Verpflichtungserklärung gekoppelt werden, keine  extremistischen Strukturen zu unterstützen. Deshalb  fordern wir die Wiedereinführung einer verbindlichen  Extremismusklausel. Darüber hinaus fordern wir das  Verbot der linksextremistischen Plattform „Indymedia“.  Gewalttätige und -unterstützende linksextremistische  und autonome Gruppen, die der sogenannten Antifa  zuzuordnen sind, sind als terroristische Vereinigung  einzustufen. Die von der Bundesregierung beabsichtigte Privilegierung von „Antifa-Recherchen“ muss verhindert  oder ggf. umgehend abgeschafft werden."
"AFD","quote","Wir fordern die  Wiedereinführung einer  verbindlichen Extremismusklausel."
"AFD","Wirksame Bekämpfung der Ausländerkriminalität","Der erhebliche Anteil von Ausländern insbesondere  bei der Gewalt- und Drogenkriminalität, aber auch bei  öffentlichen Unruhen, führt derzeit viel zu selten zu  ausländerrechtlichen Maßnahmen. Ausländische  Kriminelle können sich sehr häufig auf Abschiebungshindernisse berufen und sind auf diese Weise von  Abschiebung verschont. Wir fordern daher (a) die  Erleichterung der Ausweisung, insbesondere die  Wiedereinführung der zwingenden Ausweisung auch  schon bei geringfügiger Kriminalität, (b) die Ausweisung  bereits durch die Strafgerichte, (c) die Ermöglichung  der Unterbringung nicht abgeschobener Krimineller im  Ausland, (d) die Schaffung der Möglichkeit, Gefährder,  insbesondere Terroristen, so lange in Haft zu nehmen,  wie sie im Inland sind und von ihnen eine erhebliche  Gefahr für die Allgemeinheit ausgeht.  Die Einbürgerung Krimineller ist zuverlässig zu verhindern durch die Ablehnung des Erwerbs der deutschen  Staatsangehörigkeit durch Geburt in Deutschland, weil  hierdurch u. a. Angehörige krimineller Clans automatisch zu deutschen Staatsbürgern werden können, die  Abschaffung des einklagbaren Anspruchs auf Einbürgerung und die Verschärfung der Ausschlussgründe  für Einbürgerung bei Kriminalität.  Bei schwerer Kriminalität innerhalb von zehn Jahren  nach erfolgter Einbürgerung (Mitwirkung in Terror organisationen, Zugehörigkeit zu kriminellen Clans) ist  die Einbürgerung zurückzunehmen. Hierzu ist Art. 16  Abs. 1 GG entsprechend anzupassen."
"AFD","quote","Die AfD fordert die  Erleichterung der  Ausweisung,  insbesondere die  Wiedereinführung  der zwingenden  Ausweisung auch  schon bei  geringfügiger  Kriminalität."
"AFD","Vollstreckung im Ausland","Zur Entlastung der Justizvollzugsanstalten sind für ausländische Straftäter Vereinbarungen mit möglichst  heimatnahen Staaten zur Einrichtung von Vollzugsanstalten zu treffen, die den Anforderungen der  europäischen Menschenrechtskonvention entsprechen.  Diese sollen unter deutscher Leitung und der Anwendung deutschen Rechts stehen."
"AFD","Jugendstrafrecht","Die Sicherheitslage verschärft sich vor allem in  Ballungsgebieten dramatisch. Eine besondere Rolle  hierbei spielen gerade junge Täter, denen derzeit ein  geradezu zahnloses Recht gegenübersteht. Erzieherische  Erfolge in diesem Segment lassen sich erfahrungsgemäß nur durch sofortige Inhaftierung der Täter  schwerer Delikte erreichen. Wir fordern daher eine  entsprechende Änderung der einschlägigen Gesetze,  insbesondere des Haftrechts. Wegen der immer früher  einsetzenden kriminellen Entwicklung muss das  Strafmündigkeitsalter auf zwölf Jahre abgesenkt und mit  dem Erreichen der Volljährigkeit auch das  Erwachsenenstrafrecht Anwendung finden."
"AFD","quote","Wir wollen die Bundespolizei personell und  strukturell auf einen  wirksamen Grenzschutz  unseres Landes  ausrichten."
"AFD","Bundespolizei stärken –Grenzschutz ist nationale Aufgabe","Die Sicherheit einer Nation basiert auf sicheren Grenzen. In Zeiten ungeregelter Migration und grenzüber schreitender Kriminalität und Terrorismus kommt dem  Schutz der europäischen Binnengrenzen eine  wachsende Bedeutung zu. Die Bundespolizei muss  rechtlich, personell und technisch in die Lage versetzt  werden, diese Aufgabe zu erfüllen. Wir wollen daher den  Zuständigkeitsbereich der Bundespolizei zur  Bekämpfung illegaler Migration und grenzüberschreitender Kriminalität auf 50 km an den Landesgrenzen  und im Seebereich auf 80 km ausweiten. Zudem  fordern wir für die Bundespolizei den Einsatz  modernster Fahndungstechnik wie den Einsatz von  Gesichtserkennungssoftware. Fahndungserfolge bei  Grenzkontrollen anlässlich internationaler Gipfeltreffen  belegen das Erfordernis eines effizienten Grenzschutzes.  Wir wollen die Bundespolizei personell und strukturell  auf einen wirksamen Grenzschutz unseres Landes  ausrichten."
"AFD","Reform der Polizei","Die Polizeibeamten in Bund und Ländern gewährleisten  die öffentliche Sicherheit unter großem persönlichen  Einsatz. Dabei werden sie oft vom Staat im Stich  gelassen: Personalmangel, strukturelle Unzulänglichkeiten, unzureichende Ausrüstung und Bewaffnung bei  schlechter Bezahlung und miserabler sozialer  Absicherung. Diese Zustände sind empörend.  Damit muss endlich Schluss sein.  Die AfD fordert für Polizei, Soldaten und Rettungsdienste  eine bundeseinheitliche Besoldung und angemessene  Vergütungen mit Gefährdungszulagen sowie weitere  Zulagen für Überstunden und Sondereinsätze. Ferner  fordern wir angemessene Bewaffnung und Ausrüstung,  u. a. Körperkameras Der Dienstherr muss die Dienstunfähigkeits- und  Diensthaftpflichtversicherung übernehmen sowie für  eine Anpassung der Hinterbliebenenversorgung in Höhe  der Pensionsansprüche des letzten Amtes bei Tod durch  qualifizierten Dienstunfall sorgen."
"AFD","quote","Die AfD fordert für Polizei, Soldaten und Rettungsdienste eine bundeseinheitliche Besoldung und angemessene Vergütungen mit Gefährdungszulagen"
"AFD","Fahndungsmöglichkeiten verbessern","Zur Verbesserung der Fahndungsmöglichkeiten  sollen die Polizeibehörden an kriminalitätsneuralgischen Plätzen und Gebäuden eine Videoüberwachung mit Gesichtserkennungssoftware  einsetzen können. Bei der Fahndung nach unbekannten  Tätern soll es erlaubt werden, vorhandenes  DNS-Spurenmaterial auch auf biogeografische  Merkmale der gesuchten Person untersuchen zu lassen,  um zielgerichtete Fahndungsmaßnahmen zu ermöglichen. Durch zwischenstaatliche Vereinbarungen soll  erreicht werden, dass auch der Polizeibeamte im Einsatz  in die Lage versetzt wird, festzustellen, ob und ggf.  welche Ermittlungs- und Strafverfahren gegen eine  kontrollierte Person im Ausland anhängig waren und  sind."
"AFD","Organisierte Kriminalität bekämpfen","Die Organisierte Kriminalität (OK) wollen wir entschieden und nachhaltig bekämpfen. Durch kriminelle Aktivitäten erworbene Vermögen müssen eingezogen werden.  Das geschieht bisher noch nicht in zufriedenstellender  Weise. Die schon bestehenden rechtlichen Instrumente dafür müssen besser genutzt und weiterentwickelt  werden.  Die Mehrzahl der Täter im Bereich der Organisierten  Kriminalität sind Ausländer. Ihre Ausweisung muss vereinfacht werden. Deshalb ist für diesen Personenkreis  die OK-Zugehörigkeit als Ausweisungsgrund  einzuführen"
"AFD","quote","Die Organisierte  Kriminalität (OK) wollen  wir entschieden und  nachhaltig bekämpfen.  Fahndungsmöglichkeiten sind zu  verbessern und durch  kriminelle Aktivitäten  erworbene Vermögen  müssen eingezogen  werden."
"AFD","Sicherheit der Bürger verbessern","Auf Vorschlag der EU-Kommission hat das EU-Parlament in Reaktion auf die Terroranschläge von Paris im  November 2015 die EU-Feuerwaffenrichtlinie  geändert. Damit kommt es zu einer weiteren Verschärfung des Waffenrechts. Betroffen von der Verschärfung  des ohnehin schon restriktiven Waffenrechts sind vor  allem Sportschützen, Jäger und Waffensammler. Illegale,  für terroristische Anschläge benutzte Waffen werden  davon nicht erfasst. Die Umsetzung der EUFeuerwaffenrichtlinie lehnen wir weiterhin ab.  Statt Legalwaffenbesitzer zu kriminalisieren, ist dem  illegalen Waffenbesitz und -handel ein Riegel vorzuschieben."
"AFD","Strafjustiz verbessern","Die AfD setzt sich für eine schnelle Verbesserung der  Justizorganisation, für eine Stärkung unseres Rechtssystems und für einen effektiven Rechtsschutz der  Bürger ein.  Im Einzelnen wollen wir die Verfahren beschleunigen  und dafür (a) die noch aus dem 19. Jahrhundert  stammende Prozessordnung modernisieren, (b) mehr  Personal für das Justizwesen einstellen, (c) Schwerkriminalität durch Erleichterung der Inhaftnahme  wirkungsvoller bekämpfen, (d) weniger Strafen zur  Bewährung aussetzen und (e) das Mindeststrafmaß bei  „Messerdelikten“ erhöhen. "
"AFD","quote","Die AfD setzt sich für eine schnelle Verbesserung der Justizorganisation, für eine Stärkung unseres Rechtssystems und für einen effektiven Rechtsschutz der Bürger ein."
"AFD","Islam","Die AfD steht uneingeschränkt zur Glaubens-, Gewissens- und Bekenntnisfreiheit nach Art. 4 Grundgesetz. Muslime, die sich integrieren und unsere Grundordnung und die Grundrechte anerkennen, sind geschätzte Mitglieder unserer Gesellschaft. In unserem säkularen Staat steht staatliches Recht über religiösen Geboten. Soweit der Islam einen Herrschaftsanspruch als alleingültige Religion erhebt, die Rechtsgrundsätze der Scharia auch in Deutschland durchsetzen will und unsere Rechtsordnung nicht voll anerkennt oder sogar bekämpft, ist er mit der freiheitlich-demokratischen Grundordnung Deutschlands nicht vereinbar und gefährdet den inneren Frieden. Eine Kritik des Islams ist wie jede andere Religionskritik legitimiert durch das Grundrecht auf freie Meinungsäußerung. Es ist inakzeptabel, die Kritik am Islam durch den Vorwurf der „Islamophobie“ oder des „Rassismus“ zu unterdrücken. Jüdisches Leben wird in Deutschland nicht nur von Rechtsextremisten, sondern zunehmend auch von juden- und israelfeindlichen Muslimen bedroht. Angriffe auf Juden sowie antisemitische Beleidigungen müssen konsequent strafrechtlich geahndet werden. Die Al-Quds-Tage in Berlin, wo Demonstranten die Zerstörung Israels fordern, sind dauerhaft zu verbieten. Die vom Verfassungsschutz als sehr hoch eingeschätzte Terrorgefahr durch Dschihadisten ist eine ständige Bedrohung unseres Lebens und Friedens. Die Bildung von „Parallelgesellschaften“, in denen muslimische „Friedensrichter“ die Rechtsvorschriften der Scharia anwenden und das staatliche Monopol der Strafverfolgung und Rechtsprechung unterlaufen, werden wir unterbinden. Rechtsgrundsätze der Scharia dürfen in keiner Weise Anwendung in der deutschen Rechtsprechung finden. Zudem muss der Machtanspruch großer Familienclans durch konsequenten Einsatz der Ermittlungsbehörden und des Strafrechts gebrochen werden. Kriminelle Clan-Mitglieder sind abzuschieben. Die Finanzierung des Baus und Betriebs von Moscheen in Deutschland durch islamische Staaten wollen wir gesetzlich verbieten. Die Kooperation deutscher Behörden mit der türkisch-islamischen Anstalt für Religion (DITIB), die Teil der türkischen Religionsbehörde ist, will die AfD beenden. Die Verleihung des Status als Körperschaft öffentlichen Rechts an islamische Organisationen lehnen wir ab. Islamische Vereine, die sich gegen das Grundgesetz und die Völkerverständigung richten, wie z. B. die Muslimbruderschaft, müssen gemäß Art. 9 Abs. 2 Grundgesetz verboten werden. In Deutschland predigende Imame sollen sich zu unserer Verfassung bekennen und möglichst in deutscher Sprache predigen. Sie müssen bei der Zulassung ein Zertifikat B2 für die deutsche Sprache des Gemeinsamen Europäischen Referenzrahmens für Sprachen vorweisen können. Die islamtheologischen Lehrstühle an deutschen Universitäten sind abzuschaffen und die Stellen der bekenntnisneutralen Islamwissenschaft zu übertragen. Im konfessionsgebundenen Religionsunterricht an staatlichen Schulen soll kein Islamunterricht stattfinden, vielmehr eine sachliche Islamkunde im Ethikunterricht. Minarett und Muezzinruf sind mit einem toleranten Nebeneinander der Religionen, wie es die christlichen Kirchen praktizieren, nicht vereinbar. Der Unterdrückung muslimischer Frauen stellt sich die AfD entgegen und fordert in allen Bereichen die Gleichberechtigung von Mann und Frau. Das Tragen von Burka und Niqab in der Öffentlichkeit wollen wir auch in Deutschland untersagen, ähnlich wie in Frankreich, Österreich, Dänemark, den Niederlanden und der Schweiz. Das Kopftuch als religiös-politisches Zeichen soll im Öffentlichen Dienst generell nicht gestattet und in öffentlichen Schulen weder von Lehrerinnen noch Schülerinnen getragen werden. Um Polygamie und Zwangsheiraten von Muslimen zu  unterbinden, fordert die AfD, das Verbot der religiösen  Trauung ohne vorherige standesamtliche Eheschließung wieder in Kraft zu setzen. Den Jobcentern sind die  Personenstandsregister der Standesämter zugänglich  zu machen, um missbräuchliche Inanspruchnahme von  Hartz IV durch Zweit- oder Drittfrauen zu verhindern.  Eheverträge zu güter- und unterhaltsrechtlichen  Angelegenheiten sollen nur nach deutschem Recht  geschlossen werden dürfen."
"AFD","quote","Der Unterdrückung muslimischer Frauen stellt sich die AfD entgegen und fordert in allen Bereichen die Gleichberechtigung von Mann und Frau."
"AFD","quote","Eine Kritik des Islams ist wie jede andere Religionskritik legitimiert durch das Grundrecht auf freie Meinungsäußerung"
"AFD","Die Fluchtbewegungen des 21. Jahrhunderts können nicht mittels Aufnahme der Migranten in Europa und Deutschland bewältigt werden","Noch nie gab es global mehr Flüchtlinge als in den letzten Jahren. Neben kriegerischen Auseinandersetzungen und staatlichen Verfolgungshandlungen spielt insbesondere das enorme Bevölkerungswachstum auf dem afrikanischen Kontinent eine überragende Rolle. Da dies mit Armut und dem Kampf ums tägliche Überleben verbunden ist, wächst der Migrationsdruck auf Europa in besonderer Weise. Entgegen der Intention des UN-Migrationspakts kann dieses globale Problem nicht durch Migration gelöst werden. Selbst kleinere Teile dieser Entwicklung, die sich in Millionen von Menschen ausdrücken lassen, können weder ökonomisch, noch sozial- und integrationspolitisch in Europa aufgefangen werden. Deutschland und die anderen europäischen Länder würden destabilisiert, ohne dass ein wirkungsvoller Beitrag zur Lösung des globalen Problems geleistet wird."
"AFD","Asylmissbrauch beenden","Das derzeitige Asylsystem ist dysfunktional und gleicht einer Lotterie. Finanzielle Fehlanreize und unterlassene Abschiebungen führen zu illegaler Migration, Schleuserkriminalität und zahlreichen Todesopfern im Mittelmeer. Die meisten dieser Migranten begeben sich in der Hoffnung auf ein besseres Leben auf den Weg nach Europa. Die Hilfe für Menschen in Not muss jedoch von der Aufnahme in Deutschland entkoppelt und in den Krisenregionen selbst geleistet werden, wo dies weit effektiver ist und viel mehr wirklich Hilfsbedürftige erreicht"
"AFD","quote","Die Hilfe für Menschen in Not muss von der Aufnahme in Deutschland entkoppelt und in den Krisenregionen selbst geleistet werden."
"AFD","Die unlösbaren Folgeprobleme","Die desaströsen Folgen der unregulierten Massenzuwanderung seit 2015 sind unübersehbar und verschärfen sich weiter: überproportionale Zuwandererkriminalität, Terroranschläge und islamischer Separatismus belegen dies ebenso wie dreistellige Milliardenkosten, Wohnraummangel und die hohe Arbeitslosigkeit unter den Zuwanderern. Erfolgreiche Integration kann und wird so nicht gelingen. Unsere Lösung: Ein Schutzsystem des 21. Jahrhunderts in Anlehnung an das australische Modell. Eine existentielle Frage wie die Zuwanderung muss in demokratischer Selbstbestimmung auf nationaler Ebene entschieden werden. Unser Modell für das 21. Jahrhundert hat neben der Ablösung der überholten internationalen Regelwerke, wie der Genfer Flüchtlingskonvention von 1951, folgende Kernpunkte: Fokus auf humanitäre Hilfe in Krisenregionen selbst (intrakontinentale Fluchtalternativen) Zurückweisung von Asylsuchenden bei Einreise an der Grenze gemäß Art. 16a Abs. 2 S. 1 GG Ausschließlich qualifizierte Einwanderung nach japanischem Vorbild. Humanitäre Aufnahme nur für vom Bundestag ausgewählte, besonders schutzbedürftige Personen, für deren Auswahl ein mit der deutschen Werte- und Gesellschaftsordnung vereinbarer kultureller und religiöser Hintergrund ein wichtiges Kriterium ist. Solange ein dauerhafter und wirksamer Schutz der EU-Außengrenzen fehlt und die untaugliche überstaatliche Rechtslage fortbesteht, muss Deutschland die Kontrolle der Grenzen und die Unterbindung illegaler Grenzüberschreitungen selbst in die Hand nehmen. Wir fordern daher: Einreisen darf künftig nur noch, wem dies erlaubt ist. Zurückweisungen an der Grenze müssen wieder als selbstverständliches Recht souveräner Staaten aufgefasst werden. Die Grenzen müssen zur Abwehr unerlaubter Zuwanderung und zur Kriminalitätsbekämpfung mit einer modernen und wirksamen Sicherung ausgestattet werden. Dabei muss grenzüberschreitender Pendler-, Urlaubs- und Warenverkehr ohne unzumutbare Einschränkungen gewährleistet sein. Um die „Grüne Grenze“ mit derselben Effektivität überwachen zu können, wird ein umfassendes und modernes Grenzsicherungskonzept erarbeitet. Hierzu können auch physische Barrieren wie z. B. Grenzzäune zur Sicherung der Staatsgrenzen gehören."
"AFD","quote","Eine existentielle Frage wie die Zuwanderung muss in demokratischer Selbstbestimmung auf nationaler Ebene entschieden werden."
"AFD","quote","Deutschland muss die Kontrolle der Grenzen und die Unterbindung illegaler Grenzüberschreitungen selbst in die Hand nehmen."
"AFD","Asylparadies Deutschland schließen","Seit 2015 trägt Deutschland die Hauptlast der illegalen Zuwanderung nach Europa, verursacht durch eine Vielzahl selbstverschuldeter Ursachen. Die AfD hat einen umfassenden Maßnahmenkatalog zur Wiederherstellung geordneter Verhältnisse im Asylverfahren erarbeitet und wird dessen Umsetzung konsequent einfordern: 1. Keine pauschalen Zuwanderungskontingente und Umverteilungsquoten, egal ob im nationalstaatlichen, europäischen oder außereuropäischen Rahmen (z. B. Resettlement). 2. Keine Aufnahme von Migranten im Rahmen einer „europäischen Lösung“, die durch Missbrauch der Seenotrettung nach Europa gelangen. Vielmehr muss gemäß dem internationalen Seerecht grundsätzlich eine Ausschiffung der Betroffenen am nächstgelegenen geeigneten Seehafen erfolgen. Die heute praktizierte Form der Seenotrettung wirkt häufig als tödlich endender Pull-Faktor. 3. Beantragung von Asyl und Eröffnung des Antragsverfahrens nur bei nachgewiesener Identität und Staatsangehörigkeit. 4. Strenge Bestrafung von Falschangaben im Asylverfahren. 5. Ausweitung der Zahl sicherer Herkunftsstaaten. 6. Bekämpfung des Missbrauchs legal erteilter Visa zum Zweck der Asylantragstellung; 7. Verlust des Schutzstatus nach Reisen von Asylberechtigten in ihr Herkunftsland. Wer sein „Verfolgerland“ besucht hat, ist beim Versuch der Wiedereinreise an der deutschen Grenze zurückzuweisen. 8. Ablehnung jeglichen Familiennachzuges für Flüchtlinge. 9. Abschaffung des „Spurwechsels“ abgelehnter und ausreisepflichtiger Asylbewerber. Keine Belohnung für illegale Einreise und Verweigerung der Ausreise. 10. Niederlassungserlaubnis für anerkannte Asylbewerber erst nach 10 Jahren. 11. Beendigung des Wildwuchses bei der Asylverfahrens beratung und –betreuung. Die „Beratung und Betreuung“ erfolgt meist durch nichtstaatliche, freie Träger, die ein finanzielles Interesse an steigenden Flüchtlingszahlen und am Verbleib möglichst vieler Abgelehnter haben. Diese Organisationen zählen zur „Asyl-Industrie“, die sich am Asylsystem bereichert. Aus Verfahrens- und Rückkehrberatung wird nahezu immer eine Verweigerungs- und Bleibeberatung. Verfahrensberatung darf nur noch nach § 12 a Asylgesetz und nur durch staatliche Stellen erfolgen. 12. Keine Arbeitserlaubnis mehr für Asylantragsteller und abgelehnte Asylbewerber. 13. Jährliche Prüfung des Fortbestands von Asylgründen über zehn Jahre, da Asyl ein Recht auf Zeit ist und keine Anwartschaft auf dauerhafte Einwanderung begründet. 14. Ausnahmslose Abschiebung von Gefährdern und Straftätern, auch nach Afghanistan, Irak und Syrien. 15. Rückkehrpflichtige sollen eine handwerklich-praktische Grundausbildung erhalten können, die sie zum Wiederaufbau ihrer Heimat und zur dortigen Existenzgründung befähigt („fit for return“)."
"AFD","quote","Die AfD hat einen umfassenden Maßnahmenkatalog zur Wiederherstellung geordneter Verhältnisse im Asylverfahren erarbeitet."
"AFD","quote","Die AfD fordert die Wiederherstellung rechtsstaatlicher Zustände bei Abschiebungen."
"AFD","Abschiebung und Rückkehr","Die unterlassene Aufenthaltsbeendigung abgelehnter und ausreisepflichtiger Asylbewerber ist das Gegenteil von Rechtsstaatlichkeit: Sie ist Ausdruck fortgesetzten Staatsversagens. Die Zahl der Ausreisepflichtigen ist dabei kontinuierlich gestiegen und hat im zweiten Quartal 2021 die Zahl von ca. 300.000 Personen erreicht – während die Zahl freiwilliger Ausreisen und erfolgreicher Abschiebungen kontinuierlich sinkt. Die Politik hat vor der Aufgabe, diesen Widerspruch aufzulösen, kapituliert – getrieben von einer mächtigen Anti-Abschiebe-Industrie. Es ist zynisch und inhuman, Menschen mit der faktischen Garantie auf dauerhaften Verbleib im „reichen” Deutschland anzulocken und dabei deren möglichen Tod im Mittelmeer in Kauf zu nehmen. Freiwillige Rückkehr ist einer Abschiebung aus finanziellen, organisatorischen und humanitären Gründen immer vorzuziehen, weshalb Rückkehrbereitschaft deutlich mehr als bisher gefördert werden muss. Die AfD fordert daher zur Wiederherstellung rechtsstaatlicher Zustände: 1. Eine Abschiebeoffensive zum Abbau des Überhangs an Ausreisepflichtigen. 2. Eine nationale und eine supranationale „Remigrationsagenda“ als Schutzgewährung in Herkunfts- und Transitregionen nach dem Grundsatz „Hilfe vor Ort“ 3. Keine Duldungen mehr, sondern Bescheinigungen über die Ausreisepflicht. 4. Zuständigkeitsübertragung für den Vollzug von Abschiebungen an die Bundespolizei und deren entsprechende Ausstattung mit Personal und Kompetenzen. 5. Verhinderung von Abschiebungen zu Straftatbestand erklären. 6. Nutzung freier Platzkapazitäten bei Transportflügen der Bundeswehr, um die Anzahl der Abschiebungen zu erhöhen. 7. Aufhebung der Kirchenasyl-Vereinbarung zwischen BAMF und Kirchen. Es ist nicht hinnehmbar, dass die Kirchen unter Missbrauch des Kirchenasyls die Fristen für Abschiebungen in EU-Länder aushebeln."
"AFD","quote","Die AfD fordert eine nationale und eine supranationale „Remigrationsagenda“ als Schutzgewährung in Herkunfts- und Transitregionen."
"AFD","Leben retten und soziale Gerechtigkeit herstellen","Im internationalen Vergleich sind die Leistungen Deutschlands für Asylbewerber sehr hoch. Anerkannte erwartet eine lebenslängliche materielle Absicherung. Die Mittel dafür werden aufgebracht von Steuerzahlern, die schwer dafür arbeiten müssen, aber keine Wirtschaftsflüchtlinge eingeladen haben. Die Großzügigkeit des deutschen Staates verursacht eine erhebliche Sogwirkung, die zum Tod vieler Menschen führt. Die Bundesregierung lädt damit schwere moralische Schuld auf sich. Die Asylanerkennung führt zu einer sofortigen Gleichstellung in allen sozialen Sicherungssystemen, ohne jede vorangegangene Teilnahme am Solidarsystem. Das ist sozial ungerecht. Die AfD fordert daher zur Senkung von Anreizen und zur Wahrung der sozialen Gerechtigkeit: Sozialleistungen für Asylbewerber und Ausreise pflichtige sind ausnahmslos als Sachleistungen zu erbringen. Asylanerkennung darf nicht länger den automatischen, sofortigen, zeitlich und inhaltlich unbegrenzten Anspruch auf alle Leistungen des Wohlfahrtsstaates bedeuten. Nach österreichischem Vorbild könnte eine Leistungsgewährung in voller Höhe auch vom Erreichen guter Sprachkenntnisse abhängig gemacht werden. Eines der Hauptmotive für die gegenwärtige Massenmigration nach Deutschland und Europa ist die Möglichkeit von Migranten, in Deutschland bezogene Transferleistungen und auch legal oder illegal verdientes Geld zurück in ihre Heimatländer zu überweisen. Um diesen Migrationsanreiz zu beseitigen, befürworten wir die Einführung einer Steuer auf Rücküberweisungen, die den Europäischen Wirtschaftsraum (EWR) verlassen."
"AFD","quote","Die AfD fordert die Wahrung sozialer Gerechtigkeit, indem nur Sachleistungen als Sozialleistungen für Asylbewerber und Ausreisepflichtige erbracht werden."
"AFD","Hilfe vor Ort statt Tod auf dem Weg nach Europa","Hilfe vor Ort hat für die AfD höchste Priorität. Ihr ist absoluter Vorrang zu geben vor einer Aufnahme von Asylbewerbern in Deutschland. Zugleich werden damit wichtige Fluchtgründe abgebaut. Ein Teil der im Rahmen der Asylpolitik eingesetzten zweistelligen Milliardensummen kann heimatnah eine vielfache Wirkung entfalten und so helfen, den Migrationsdruck auch nachhaltig zu senken."
"AFD","quote","Die AfD will die Zuwanderung wieder national regeln."
